,NAME,GEO_ID,S1901_C01_012E,S1501_C02_015E,S1701_C03_001E,state,county
1,"Merced County, California",0500000US06047,53672,13.8,21.2,06,047
2,"Mariposa County, California",0500000US06043,48820,24.6,15.2,06,043
3,"Modoc County, California",0500000US06049,45507,15.2,18.8,06,049
4,"Contra Costa County, California",0500000US06013,99716,42.4,8.7,06,013
5,"Inyo County, California",0500000US06027,57316,27.2,9.3,06,027
6,"Stanislaus County, California",0500000US06099,60704,17.1,15.1,06,099
7,"Santa Barbara County, California",0500000US06083,74624,34.2,13.5,06,083
8,"Tehama County, California",0500000US06103,44514,15.7,22.1,06,103
9,"Mono County, California",0500000US06051,62260,28.8,12.1,06,051
10,"San Benito County, California",0500000US06069,86958,19.7,8.4,06,069
11,"Sacramento County, California",0500000US06067,67151,30.9,14.7,06,067
12,"El Dorado County, California",0500000US06017,83377,34.3,8.4,06,017
13,"Monterey County, California",0500000US06053,71015,24.7,13.1,06,053
14,"San Francisco County, California",0500000US06075,112449,58.1,10.3,06,075
15,"San Diego County, California",0500000US06073,78980,38.8,11.6,06,073
16,"Tulare County, California",0500000US06107,49687,14.6,23.8,06,107
17,"Humboldt County, California",0500000US06023,48041,30.4,20.1,06,023
18,"Alpine County, California",0500000US06003,63750,34.5,19.7,06,003
19,"Madera County, California",0500000US06039,57585,14.6,19.9,06,039
20,"Santa Cruz County, California",0500000US06087,82234,40.8,13.1,06,087
21,"Trinity County, California",0500000US06105,40846,19.5,19.0,06,105
22,"Riverside County, California",0500000US06065,67005,22.3,13.7,06,065
23,"San Bernardino County, California",0500000US06071,63362,21.0,16.0,06,071
24,"Marin County, California",0500000US06041,115246,59.5,7.2,06,041
25,"Placer County, California",0500000US06061,89691,39.7,7.7,06,061
26,"Shasta County, California",0500000US06089,54667,22.2,16.7,06,089
27,"Solano County, California",0500000US06095,81472,26.9,9.5,06,095
28,"Colusa County, California",0500000US06011,59401,15.0,13.0,06,011
29,"Glenn County, California",0500000US06021,49633,14.2,17.5,06,021
30,"Butte County, California",0500000US06007,52537,27.2,19.1,06,007
31,"Kings County, California",0500000US06031,57848,14.7,18.2,06,031
32,"Plumas County, California",0500000US06063,55359,23.7,12.1,06,063
33,"San Luis Obispo County, California",0500000US06079,73518,35.4,12.5,06,079
34,"Fresno County, California",0500000US06019,53969,21.2,22.5,06,019
35,"Kern County, California",0500000US06029,53350,16.4,21.0,06,029
36,"Orange County, California",0500000US06059,90234,40.6,10.9,06,059
37,"Ventura County, California",0500000US06111,88131,33.8,8.9,06,111
38,"Calaveras County, California",0500000US06009,63158,18.3,11.4,06,009
39,"Sutter County, California",0500000US06101,59050,18.2,15.5,06,101
40,"San Mateo County, California",0500000US06081,122641,51.0,6.7,06,081
41,"Tuolumne County, California",0500000US06109,60108,20.5,12.8,06,109
42,"San Joaquin County, California",0500000US06077,64432,18.8,14.5,06,077
43,"Amador County, California",0500000US06005,62772,19.3,9.9,06,005
44,"Lake County, California",0500000US06033,47040,15.5,18.6,06,033
45,"Yuba County, California",0500000US06115,58054,17.1,15.5,06,115
46,"Lassen County, California",0500000US06035,56352,12.9,13.5,06,035
47,"Sonoma County, California",0500000US06097,81018,35.5,9.2,06,097
48,"Imperial County, California",0500000US06025,47622,15.2,24.1,06,025
49,"Alameda County, California",0500000US06001,99406,47.4,9.9,06,001
50,"Napa County, California",0500000US06055,88596,35.7,7.8,06,055
51,"Sierra County, California",0500000US06091,52148,17.9,9.7,06,091
52,"Yolo County, California",0500000US06113,70228,41.4,19.1,06,113
53,"Nevada County, California",0500000US06057,66096,37.2,11.0,06,057
54,"Mendocino County, California",0500000US06045,51416,24.4,17.8,06,045
55,"Los Angeles County, California",0500000US06037,68044,32.5,14.9,06,037
56,"Santa Clara County, California",0500000US06085,124055,52.4,7.5,06,085
57,"Siskiyou County, California",0500000US06093,45241,23.2,18.8,06,093
58,"Del Norte County, California",0500000US06015,45283,14.8,19.5,06,015
