,NAME,GEO_ID,S1901_C01_012E,S1501_C02_015E,S1701_C03_001E,state,place
1,"Moss Landing CDP, California",1600000US0649488,90147,11.1,14.8,06,49488
2,"Belvedere city, California",1600000US0605164,245208,85.4,2.7,06,05164
3,"Fairfax town, California",1600000US0623168,104122,60.0,5.4,06,23168
4,"Cassel CDP, California",1600000US0611782,105800,22.8,18.2,06,11782
5,"Cedarville CDP, California",1600000US0612328,29500,22.0,9.9,06,12328
6,"Centerville CDP, California",1600000US0612412,60250,4.4,6.3,06,12412
7,"Chalfant CDP, California",1600000US0612594,63634,30.0,14.3,06,12594
8,"Cherokee CDP, California",1600000US0612818,103438,6.4,0.0,06,12818
9,"Clay CDP, California",1600000US0613854,88750,30.4,2.4,06,13854
10,"Clear Creek CDP, California",1600000US0613910,-666666666,24.0,27.1,06,13910
11,"Cherokee Strip CDP, California",1600000US0612860,31250,0.0,67.8,06,12860
12,"Clarksburg CDP, California",1600000US0613784,89091,21.1,0.0,06,13784
13,"Clearlake Riviera CDP, California",1600000US0613985,79122,9.0,14.7,06,13985
14,"Cleone CDP, California",1600000US0614008,61458,14.8,14.7,06,14008
15,"Clipper Mills CDP, California",1600000US0614148,56140,21.7,6.0,06,14148
16,"Coarsegold CDP, California",1600000US0614288,62992,17.9,4.4,06,14288
17,"Coffee Creek CDP, California",1600000US0614406,51875,36.4,11.7,06,14406
18,"Cohasset CDP, California",1600000US0614442,69420,40.9,3.8,06,14442
19,"Cold Springs CDP (El Dorado County), California",1600000US0614450,74083,27.8,8.0,06,14450
20,"Cold Springs CDP (Tuolumne County), California",1600000US0614454,-666666666,0.0,0.0,06,14454
21,"Coleville CDP, California",1600000US0614484,-666666666,22.1,24.6,06,14484
22,"College City CDP, California",1600000US0614554,71875,21.6,0.0,06,14554
23,"Coloma CDP, California",1600000US0614764,125521,16.1,0.9,06,14764
24,"Comptche CDP, California",1600000US0615030,37788,0.0,9.1,06,15030
25,"Coronita CDP, California",1600000US0616420,109554,21.4,4.5,06,16420
26,"Courtland CDP, California",1600000US0616714,58421,34.8,5.6,06,16714
27,"Collierville CDP, California",1600000US0614708,58813,11.0,2.3,06,14708
28,"Cowan CDP, California",1600000US0616762,65411,0.0,0.0,06,16762
29,"Cressey CDP, California",1600000US0617078,44000,27.0,6.2,06,17078
30,"Creston CDP, California",1600000US0617232,-666666666,24.2,0.0,06,17232
31,"Crowley Lake CDP, California",1600000US0617372,89706,48.9,16.5,06,17372
32,"Crows Landing CDP, California",1600000US0617428,40179,0.0,27.5,06,17428
33,"Cuyama CDP, California",1600000US0617727,-666666666,0.0,0.0,06,17727
34,"Daphnedale Park CDP, California",1600000US0617995,-666666666,11.6,21.5,06,17995
35,"Davenport CDP, California",1600000US0618086,51250,25.7,4.4,06,18086
36,"Delft Colony CDP, California",1600000US0618450,-666666666,6.2,39.7,06,18450
37,"Descanso CDP, California",1600000US0618940,92232,25.3,8.7,06,18940
38,"Desert Center CDP, California",1600000US0618982,32292,57.1,2.5,06,18982
39,"Desert Edge CDP, California",1600000US0618986,31604,16.6,20.7,06,18986
40,"East Palo Alto city, California",1600000US0620956,67087,20.6,13.5,06,20956
41,"Redwood City city, California",1600000US0660102,117123,50.2,9.0,06,60102
42,"San Bruno city, California",1600000US0665028,109387,43.9,4.7,06,65028
43,"Lafayette city, California",1600000US0639122,178889,71.6,3.4,06,39122
44,"Fish Camp CDP, California",1600000US0624218,-666666666,86.0,0.0,06,24218
45,"El Sobrante CDP (Contra Costa County), California",1600000US0622454,86626,34.8,8.2,06,22454
46,"Floriston CDP, California",1600000US0624526,-666666666,-666666666.0,-666666666.0,06,24526
47,"Flournoy CDP, California",1600000US0624568,42045,13.5,23.9,06,24568
48,"Forbestown CDP, California",1600000US0624750,-666666666,23.4,8.7,06,24750
49,"Forest Ranch CDP, California",1600000US0624918,-666666666,32.1,8.8,06,24918
50,"Fort Bidwell CDP, California",1600000US0625030,35000,30.7,36.2,06,25030
51,"Fort Irwin CDP, California",1600000US0625114,54787,32.0,9.0,06,25114
52,"Fort Washington CDP, California",1600000US0625300,100649,94.9,0.0,06,25300
53,"Franklin CDP (Merced County), California",1600000US0625488,51589,8.6,19.5,06,25488
54,"Franklin CDP (Sacramento County), California",1600000US0625506,-666666666,8.8,25.6,06,25506
55,"Freeport CDP, California",1600000US0625590,-666666666,0.0,0.0,06,25590
56,"French Valley CDP, California",1600000US0626067,111052,30.5,6.3,06,26067
57,"Fruitridge Pocket CDP, California",1600000US0627130,32197,9.2,29.6,06,27130
58,"Fuller Acres CDP, California",1600000US0627190,34732,2.6,48.2,06,27190
59,"Fulton CDP, California",1600000US0628014,-666666666,26.3,46.6,06,28014
60,"Garberville CDP, California",1600000US0628154,25705,19.3,25.8,06,28154
61,"Garden Farms CDP, California",1600000US0628210,-666666666,61.8,0.0,06,28210
62,"Garey CDP, California",1600000US0629070,-666666666,5.2,9.4,06,29070
63,"Garnet CDP, California",1600000US0629112,38654,10.9,26.4,06,29112
64,"Gasquet CDP, California",1600000US0629154,37321,10.4,13.7,06,29154
65,"Tiburon town, California",1600000US0678666,154915,76.2,2.6,06,78666
66,"Prunedale CDP, California",1600000US0658870,89137,22.6,6.0,06,58870
67,"Grover Beach city, California",1600000US0631393,64217,31.6,13.6,06,31393
68,"Hornbrook CDP, California",1600000US0634694,35694,9.6,37.9,06,34694
69,"Tennant CDP, California",1600000US0678176,-666666666,0.0,0.0,06,78176
70,"Yuba City city, California",1600000US0686972,56816,18.9,15.5,06,86972
71,"Los Altos Hills town, California",1600000US0643294,250001,85.3,3.6,06,43294
72,"Monte Sereno city, California",1600000US0648956,250001,79.1,1.2,06,48956
73,"Saratoga city, California",1600000US0670280,191677,77.5,4.7,06,70280
74,"Sunnyvale city, California",1600000US0677000,140631,65.1,5.5,06,77000
75,"Cotati city, California",1600000US0616560,82182,31.7,10.1,06,16560
76,"Forestville CDP, California",1600000US0624960,72083,39.7,8.8,06,24960
77,"Graton CDP, California",1600000US0630812,73984,47.0,3.7,06,30812
78,"Occidental CDP, California",1600000US0653266,59643,49.6,10.9,06,53266
79,"Corning city, California",1600000US0616322,43042,12.0,25.8,06,16322
80,"Gridley city, California",1600000US0631260,46477,12.9,15.4,06,31260
81,"Tehama city, California",1600000US0678106,40139,11.3,23.3,06,78106
82,"Casa de Oro-Mount Helix CDP, California",1600000US0611691,100097,44.9,8.9,06,11691
83,"San Diego city, California",1600000US0666000,79673,45.9,12.8,06,66000
84,"Bradley CDP, California",1600000US0607974,58750,4.3,0.0,06,07974
85,"King City city, California",1600000US0638520,49375,4.1,18.6,06,38520
86,"Salinas city, California",1600000US0664224,61527,13.3,16.8,06,64224
87,"Fairfield city, California",1600000US0623182,84557,28.3,8.6,06,23182
88,"Alpine Village CDP, California",1600000US0601228,58750,22.5,14.9,06,01228
89,"Jenner CDP, California",1600000US0637274,26324,56.7,0.0,06,37274
90,"Johnstonville CDP, California",1600000US0637484,75781,17.3,7.3,06,37484
91,"Junction City CDP, California",1600000US0637596,53952,24.3,8.3,06,37596
92,"June Lake CDP, California",1600000US0637624,-666666666,22.8,14.4,06,37624
93,"Kelly Ridge CDP, California",1600000US0638024,49458,14.3,9.6,06,38024
94,"Kennedy Meadows CDP, California",1600000US0638076,-666666666,-666666666.0,-666666666.0,06,38076
95,"Kenwood CDP, California",1600000US0638156,74792,68.6,10.3,06,38156
96,"Big Bend CDP, California",1600000US0606475,22500,14.9,40.5,06,06475
